Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8622,"Lutz Stengel","Frank Feller",ROYC,1,3,1,3,8,,1
GER,8725,"Dietrich Scheder-Bieschin","Rolf Meyer",NRV,2,1,2,5,10,,2
GER,8742,"Stefan Köchlin","Peter Hobusch",SKF,3,2,14,2,21,,3
GER,8563,"Matthias Jetschke","Jens Weishaupt",WSCW,4,7,3,11,25,,4
GER,8749,"Stephan Krause","Michael Krause",HiSC,5,9,5,8,27,,5
GER,8663,"Norbert Dasenbrook","Sven Meier",KSW,9,5,13,6,33,,6
GER,8527,"Tim Steinert","Jens Steinert",ZSK,6,10,6,15,37,,7
GER,0,"Wolfgang Hunger","Holger Jess",PYC,"DNF 29",4,4,1,38,,8
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,8,8,10,12,38,,9
GER,8750,"Christian Müllejans","Thomas Jung",SVWu,7,6,8,19,40,,10
GER,867,"Volker Görge","Marlies Endjer",TSVS,12,17,11,4,44,,11
GER,8619,"Jens Findel","Jens Wilke",KYC,13,13,19,7,52,,12
GER,8507,"Armin Eismann","Tino Käcks",SCA,18,16,9,10,53,,13
GER,8570,"Till Supan","Gregor Dahlem",ETUF,14,11,12,16,53,,14
GER,8657,"Melanie Horstmann","Georg Neulen",HSC,11,14,15,13,53,,15
GER,8675,"Karsten Morf","Heike Jansen",CKA,10,24,7,18,59,,16
GER,8433,"Jürgen Anton","Jürgen Wasceszio",HSC,16,12,20,14,62,,17
GER,8788,"Peter Gerdts","Karsten Lahrs",HSC,17,22,18,9,66,,18
GER,8279,"Maike Miechelsen","Kay-Enno Brink",WSU,23,18,21,17,79,,19
GER,8712,"Siegfried Labenz","Christian Labenz",SVWu,15,21,25,20,81,,20
GER,8478,"Kai-Uwe Weiss","Axel Priegann",HSV,22,15,22,22,81,,21
GER,6786,"Hendrik Reinhardt","Axel Schult",SVSF,20,23,17,21,81,,22
GER,8711,"Carsten Engel","Tobias Neumeyer",PSVK,21,19,16,"OCS 29",85,,23
GER,8430,"Klaus Heeschen","Frederik Teichmann",WSCW,19,20,23,"DNF 29",91,,24
GER,8470,"Bernd Lenz","Thomas Brodersen",SLRV,25,27,27,23,102,,25
GER,8590,"Markus Conrad","Johannes Boy",SCNW,24,25,24,"DNF 29",102,,26
GER,7631,"Rolf Lange","Sven Stange",PSC,26,26,28,25,105,,27
GER,7878,"Florian von Scotti","Markus von Hummel",ETUF,27,"DNC 29",26,24,106,,28
