Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8539,"Hendrik Schultz","Ute Oberländer",SCLW,3,1,1,1,6,,1
GER,8672,"Karsten Contag","Guido von Walter",SCLW,1,3,2,2,8,,2
GER,8861,"Hans-Otto Frisch","Jochen Heydolph",SCLW,2,2,4,5,13,,3
GER,7661,"Christina Höll","Anna Höll",HSC,4,5,3,4,16,,4
GER,8530,"Alexander von Mertens","Benjamin Klatzka",StSC,5,4,6,3,18,,5
GER,8674,"Pedro Bohnenberger","Stephan Ottenschläger",SCIA,6,8,5,6,25,,6
GER,8518,"Klaus Eifler","Melanie Tschiche",SCLW,7,6,"DNF 11","DNC 11",35,,7
GER,8507,"Thorsten Koch","Antje von Hoyer",SCLW,8,7,"DNC 11","DNF 11",37,,8
GER,8697,"Wilfried Stuis","Tom Kästner",YCN,9,"DNC 11","OCS 11",7,38,,9
GER,8873,"Peter Heimbeck","Nils Burghard",SCLW,10,"DNF 11","DNF 11","DNF 11",43,,10
