,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,9011,Michael Daisenberger,Bastian Henning,DTYC,4,2,2,1,,1
GER,8672,Karsten Contag,Guido von Walter,SCLW,2,4,1,8,,2
GER,8843,Helen Fischer,Lars Dehne,BYC,5,1,3,3,,3
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,1,3,5,4,,4
GER,8974,Nicola Birkner,Angela Stenger,SVaW,3,6,4,5,,5
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,7,5,6,2,,6
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,9,7,9,7,,7
GER,8861,Wolfgang Seifert,Peter Daferner,SCLW,8,8,8,DNC,,8
GER,8642,Thoralf Greger,Nils Burghard,ASVG,6,15,7,DNC,,9
GER,9021,Georg Geyer,Claudia Conrads,,14,10,20,6,,10
GER,8598,Anna Höll,Bernd Heinisch,,17,9,11,12,,11
GER,8725,Christina Berggren,Johannes Berggren,SCLW,12,DNF,12,9,,12
GER,8463,Mats Westholm,Thomas Fox,SCLW,10,11,13,15,,13
GER,8658,Christina Höll,Alexander Wilhelm,HSC,11,14,10,DNC,,14
GER,8562,Jochen Heydolph,Fabian Martyson,SCLW,15,12,14,10,,15
GER,8580,Andreas Achterberg,Verena Achterberg,BYC,16,13,17,11,,16
GER,8697,Wilfried Stuis,Hans Luinge,YCN,DNF,16,15,16,,17
GER,8518,Klaus Eifler,Jim Lindquist,SCLW,13,19,16,DNC,,18
GER,8530,Alexander von Mertens,Denise Depauli,StSC,19,17,18,13,,19
GER,8666,Michael Kurzeja,Pedro Bohnenberger,BYC,18,18,19,14,,20
