Nation,SailNo,HelmName,CrewName,Club,"R1
12/9","R2
12/9","R3
12/9","R4
12/9","R5
13/9","R6
13/9","R7
13/9",Total,Poäng,Rank
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbaek,1,(4.0),2,1,1,2,2,13,9,1st
SWE,9029,Tomas Grundel,Johan Strömdahl,KSSS,(14.0 DNS),14.0 DNS,1,3,2,1,1,36,22,2nd
SWE,8974,Malin Broberg,Johan Röök,BKSS,3,1,5,4,5,4,(6.0),28,22,3rd
SWE,9002,Per Wester,Lars Wester,BKSS,4,2,4,5,3,(8.0),4,30,22,4th
SWE,9013,Anders Nilsson,Jacob Reuterskiöld,Malmö SS,2,3,(14.0 DNF),6,7,3,5,40,26,5th
SWE,8962,Peter Bökmark,Martin Persson,BKSS,(14.0 DNS),14.0 DNS,3,2,4,7,3,47,33,6th
SWE,9171,Martin Fridh,Mats Dahlander,Malmö SS,(14.0 DNS),14.0 DNS,14.0 DNS,14.0 DNS,8,6,7,77,63,7th
SWE,8694,Tomas Berg,Tore Reinhold,SS Kaparen,(14.0 DNS),14.0 DNS,14.0 DNS,14.0 DNF,6,5,14.0 DNF,81,67,8th
SWE,9014,Alain Dupuis,Patric Wolmersson,BKSS,(14.0 DNS),14.0 DNS,14.0 DNS,14.0 DNS,9,14.0 DNF,14.0 DNS,93,79,9th
SWE,9107,Julia Wännerdahl,Sven Flood,Stenungsund SS,(14.0 DNS),14.0 DNS,14.0 DNS,14.0 DNS,10,14.0 DNS,14.0 DNS,94,80,10th
SWE,8848,Johannes Prison,Johan Calvert,BKSS,(14.0 DNS),14.0 DNS,14.0 DNS,14.0 DNS,14.0 DNS,14.0 DNS,14.0 DNS,98,84,11th
SWE,9038,Mikael Gustafsson,Tore Reinhold,BKSS,(14.0 DNS),14.0 DNS,14.0 DNS,14.0 DNS,14.0 DNS,14.0 DNS,14.0 DNS,98,84,11th
SWE,8793,Lars Bååth,Hans Lindh,BKSS,(14.0 DNS),14.0 DNS,14.0 DNS,14.0 DNS,14.0 DNS,14.0 DNS,14.0 DNS,98,84,11th
SWE,8787,Anders Johansson,Anders Barne,Segelsällskapet Viken Ägir,(18.0 DNC),18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,126,108,14th
SWE,8923,Lars Hultgren,Axel Hultgren,Råå Jolleklubb,(18.0 DNC),18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,126,108,14th
SWE,9117,Fredrik Molander,Tomas Jaxing,BKSS,(18.0 DNC),18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,126,108,14th
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens SS,(18.0 DNC),18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,18.0 DNC,126,108,14th
